it global_time dt rho m1 m2 e r_e test D v1 v2 p Trad Tgas Mdot OPAL CAK CAK2 lambda Edd Gamma Lum F1 F2 gradE c1 c2 c3 c4 n1 n2 n3 n4 | Xload Xmemory 'Cell_Updates /second/core' 'Active_Blocks/Core' 'Wct Per Code Time [s]' 'TimeToFinish [hrs]'
       0  0.00000000E+00  8.84886249E-04   2.13627789E-03  1.03361354E-04  2.88990624E-07  3.54425182E-05  5.25996646E-04  0.00000000E+00  7.24531791E+01  8.76999877E-01  9.49541522E-06  5.53180191E-06  5.76247460E+04  9.02495744E+04  3.18522388E-06  1.30162926E+00  1.15665396E+01  1.79548413E+00  2.57113469E-01  4.84991744E-01  1.99894622E+00  1.37751529E+05  1.30761697E-01  0.00000000E+00 -2.62090630E-02   4.37500000E-01  2.81250000E-01  1.87500000E-01  9.37500000E-02       14      36      96     192 |   0.00E+00  0.00E+00  0.00E+00  4.22E+01  2.55E+14  1.42E+12
    2140  5.00000000E-01  1.83005358E-04   3.37577273E-03  4.31293675E-04  9.31024398E-08  1.21764896E-04  2.72009935E-03  0.00000000E+00  1.50761133E+02  1.46901443E+00 -7.68271152E-04  7.08644248E-06  9.29874692E+04  9.31541453E+04  7.22235439E-06  1.46208465E+00  1.32966315E+01  2.30655836E+00  2.44978093E-01  5.14150618E-01  1.46473855E+01  5.95023757E+05  2.54196808E-01 -3.38231907E-06 -1.93764951E-02   4.37500000E-01  2.81250000E-01  1.87500000E-01  9.37500000E-02       14      36      96     192 |   0.00E+00  0.00E+00  4.63E+04  4.22E+01  3.19E+02  1.73E+00
    5327  1.00000000E+00  1.55676714E-04   3.56961216E-03  5.58873025E-04  3.75372246E-08  2.03112365E-04  2.52576039E-03  0.00000000E+00  1.64133056E+02  1.86108813E+00 -3.00676181E-03  7.22616027E-06  8.77428384E+04  8.78824502E+04  9.96506483E-06  1.41857870E+00  1.51829353E+01  2.80598691E+00  2.54278538E-01  4.95026834E-01  1.12958423E+01  4.57170732E+05  2.20120288E-01  1.93525195E-04 -1.89316611E-02   4.37500000E-01  2.81250000E-01  1.87500000E-01  9.37500000E-02       14      36      96     192 |   0.00E+00  0.00E+00  4.28E+04  4.22E+01  4.05E+02  2.14E+00
    8350  1.50000000E+00  1.69835636E-04   3.82020001E-03  5.89422738E-04  1.02660927E-07  2.21313008E-04  2.23044431E-03  0.00000000E+00  1.43791762E+02  2.13907887E+00 -3.78415229E-03  7.36940235E-06  8.54777255E+04  8.55398590E+04  1.14755268E-05  1.41350646E+00  1.99740105E+01  4.03175852E+00  2.77035677E-01  4.45497907E-01  1.20001969E+01  3.90679101E+05  1.97287324E-01  7.64224727E-04 -1.79787475E-02   4.37500000E-01  2.81250000E-01  1.87500000E-01  9.37500000E-02       14      36      96     192 |   0.00E+00  0.00E+00  4.50E+04  4.22E+01  3.54E+02  1.82E+00
   10746  2.00000000E+00  2.30960941E-04   5.45305823E-03  3.27427202E-04 -8.08452316E-06  1.43759865E-04  1.41684329E-03  0.00000000E+00  1.82172437E+02  2.05980658E+00 -1.21463713E-03  1.03974063E-05  7.29459588E+04  7.30535201E+04  6.57102006E-06  1.38205721E+00  2.31906778E+01  5.67474963E+00  2.47016549E-01  5.11673865E-01  8.40926407E+00  2.24439136E+05  1.19845235E-01  2.52307560E-04 -2.42415159E-02   4.37500000E-01  2.81250000E-01  1.87500000E-01  9.37500000E-02       14      36      96     192 |   0.00E+00  0.00E+00  4.67E+04  4.22E+01  2.51E+02  1.25E+00
   13817  2.50000000E+00  1.63523938E-04   5.17106560E-03  2.23706711E-04 -9.93524117E-06  1.32813842E-04  1.71129454E-03  0.00000000E+00  2.14394113E+02  1.88298046E+00  2.81495446E-03  1.02853150E-05  7.23344512E+04  7.24084000E+04  4.92690892E-06  1.39211558E+00  2.45404156E+01  6.53564357E+00  2.52281794E-01  4.99498224E-01  8.76666274E+00  2.32520200E+05  1.47515468E-01 -1.61097056E-04 -2.12655308E-02   4.37500000E-01  2.81250000E-01  1.87500000E-01  9.37500000E-02       14      36      96     192 |   0.00E+00  0.00E+00  4.57E+04  4.22E+01  3.62E+02  1.76E+00
   15988  3.00000000E+00  2.38947275E-04   4.28569155E-03  3.90195595E-04 -6.25990881E-05  1.60981417E-04  2.87683411E-03  0.00000000E+00  2.04870914E+02  1.95186323E+00 -3.79018904E-06  8.48504352E-06  8.61428935E+04  8.62530191E+04  6.42576933E-06  1.48521032E+00  2.33473273E+01  5.25577270E+00  2.52672645E-01  4.99529695E-01  1.49938470E+01  3.96040693E+05  2.25888828E-01 -2.54786917E-03 -2.13408326E-02   4.37500000E-01  2.81250000E-01  1.87500000E-01  9.37500000E-02       14      36      96     192 |   0.00E+00  0.00E+00  4.54E+04  4.22E+01  2.49E+02  1.18E+00
   19782  3.50000000E+00  9.63073847E-05   5.08574697E-03  5.50410923E-04 -1.37327119E-04  2.50686662E-04  4.06775178E-03  0.00000000E+00  2.15851949E+02  1.95887913E+00 -9.31666335E-03  1.15196899E-05  8.97587075E+04  8.97895043E+04  9.20040102E-06  1.47224742E+00  1.92818190E+01  4.58833880E+00  2.59598850E-01  4.85279245E-01  1.16512773E+01  4.39421209E+05  3.58030447E-01 -8.45090354E-03 -3.35466007E-02   4.37500000E-01  2.81250000E-01  1.87500000E-01  9.37500000E-02       14      36      96     192 |   0.00E+00  0.00E+00  4.33E+04  4.22E+01  6.48E+02  2.97E+00
   27891  4.00000000E+00  7.28010168E-05   4.36940720E-03  1.12297990E-03 -9.08915358E-05  7.63239818E-04  5.71845101E-03  0.00000000E+00  1.25932793E+02  2.48614758E+00 -3.14815660E-02  9.35784345E-06  1.06493334E+05  1.06504298E+05  2.04364126E-05  1.52128733E+00  1.85134296E+01  3.90770195E+00  2.83061583E-01  4.33192931E-01  2.06745570E+01  7.63713342E+05  5.18368404E-01 -2.99286734E-02 -2.50464233E-02   4.37500000E-01  2.81250000E-01  1.87500000E-01  9.37500000E-02       14      36      96     192 |   0.00E+00  0.00E+00  4.02E+04  4.22E+01  9.23E+02  4.10E+00
   36700  4.50000000E+00  6.08863149E-05   5.10028837E-03  6.84225659E-04 -8.94587359E-05  6.88803194E-04  4.06238031E-03  0.00000000E+00  9.27061375E+01  2.55617329E+00 -5.02034384E-02  1.05216690E-05  1.01350383E+05  1.01390437E+05  2.17026544E-05  1.54715345E+00  2.01742455E+01  3.69932535E+00  2.86521792E-01  4.25648390E-01  1.89717660E+01  5.94020177E+05  3.71606856E-01 -1.92833631E-02 -2.52715315E-02   4.37500000E-01  2.81250000E-01  1.87500000E-01  9.37500000E-02       14      36      96     192 |   0.00E+00  0.00E+00  2.90E+04  4.22E+01  1.53E+03  6.59E+00
