it global_time dt rho m1 m2 e r_e test D v1 v2 p Trad Tgas Mdot OPAL CAK CAK2 lambda Edd Gamma Lum F1 F2 gradE c1 c2 c3 c4 n1 n2 n3 n4 | Xload Xmemory 'Cell_Updates /second/core' 'Active_Blocks/Core' 'Wct Per Code Time [s]' 'TimeToFinish [hrs]'
       0  0.00000000E+00  1.76917990E-03   2.07088327E-03  1.03457817E-04  2.90018338E-07  3.51185378E-05  5.23422174E-04  0.00000000E+00  7.25187914E+01  8.77006505E-01  9.47418559E-06  5.31683291E-06  5.76182933E+04  9.02292984E+04  3.18568874E-06  1.30139765E+00  1.15808134E+01  1.79170831E+00  2.56764511E-01  4.85536345E-01  1.98182117E+00  1.36595418E+05  1.30442186E-01  0.00000000E+00 -2.95786372E-02   5.00000000E-01  2.50000000E-01  1.56250000E-01  9.37500000E-02        4       8      20      48 |   0.00E+00  0.00E+00  0.00E+00  1.00E+01  9.55E+13  5.31E+11
    1060  5.00000000E-01  5.15510109E-04   3.70797003E-03  4.67009803E-04  3.76966506E-07  1.18098329E-04  2.80567061E-03  0.00000000E+00  1.49914378E+02  1.43541674E+00  4.89346296E-04  7.89107525E-06  9.11221644E+04  9.12675704E+04  7.23754226E-06  1.44183582E+00  1.33077857E+01  2.45979204E+00  2.60870663E-01  4.76438275E-01  1.36326530E+01  6.17857804E+05  3.66567493E-01  1.29752502E-04 -2.11338066E-02   5.00000000E-01  2.50000000E-01  1.56250000E-01  9.37500000E-02        4       8      20      48 |   0.00E+00  0.00E+00  4.48E+04  1.00E+01  2.77E+01  1.50E-01
    3311  1.00000000E+00  2.42835691E-04   4.32780830E-03  5.51338894E-04  3.16819801E-07  1.66207895E-04  2.30146454E-03  0.00000000E+00  1.45931087E+02  1.68338629E+00  7.91748696E-04  8.98773149E-06  8.25392464E+04  8.28155256E+04  9.04542449E-06  1.35765620E+00  1.36286756E+01  2.59068161E+00  2.60774749E-01  4.78098089E-01  9.30072959E+00  3.87882668E+05  1.93815322E-01  1.42379827E-04 -2.17037361E-02   5.00000000E-01  2.50000000E-01  1.56250000E-01  9.37500000E-02        4       8      20      48 |   0.00E+00  0.00E+00  4.14E+04  1.00E+01  6.37E+01  3.36E-01
    5278  1.50000000E+00  2.25983963E-04   3.54645672E-03  5.45511548E-04  3.52579655E-07  2.05849963E-04  2.50043952E-03  0.00000000E+00  1.42874593E+02  1.93028395E+00 -1.33368985E-03  6.86270567E-06  8.27587033E+04  8.28899295E+04  1.04701359E-05  1.37149269E+00  1.64417377E+01  3.16011315E+00  2.73166988E-01  4.51712224E-01  9.17799804E+00  3.65613211E+05  2.04205641E-01  2.41380762E-04 -1.73064081E-02   5.00000000E-01  2.50000000E-01  1.56250000E-01  9.37500000E-02        4       8      20      48 |   0.00E+00  0.00E+00  4.29E+04  1.00E+01  6.61E+01  3.40E-01
    7398  2.00000000E+00  2.54154618E-04   2.94726661E-03  6.88382961E-04  2.46078876E-07  2.22245055E-04  2.36914902E-03  0.00000000E+00  1.93679089E+02  2.18162513E+00 -1.69834916E-03  5.24661725E-06  8.06666917E+04  8.07629816E+04  1.11345809E-05  1.39250545E+00  2.05474980E+01  4.75080710E+00  2.62230108E-01  4.77600774E-01  1.08528930E+01  3.55739723E+05  2.06250267E-01 -2.58657708E-04 -1.45241480E-02   5.00000000E-01  2.50000000E-01  1.56250000E-01  9.37500000E-02        4       8      20      48 |   0.00E+00  0.00E+00  4.12E+04  1.00E+01  6.11E+01  3.05E-01
    8620  2.50000000E+00  4.72781058E-04   4.95914099E-03  6.20729440E-04  1.14489176E-06  1.73407430E-04  1.82996905E-03  0.00000000E+00  1.87715607E+02  2.20226450E+00 -7.01251155E-05  9.51403178E-06  7.52195433E+04  7.55706441E+04  9.42702321E-06  1.41716313E+00  2.41711073E+01  6.08466311E+00  2.43277428E-01  5.20032856E-01  9.42495941E+00  2.42841660E+05  1.39203518E-01 -1.38043654E-04 -1.91764853E-02   5.00000000E-01  2.50000000E-01  1.56250000E-01  9.37500000E-02        4       8      20      48 |   0.00E+00  0.00E+00  4.34E+04  1.00E+01  3.12E+01  1.52E-01
   10281  3.00000000E+00  2.19704388E-04   5.62232917E-03  5.38674444E-04 -1.05057671E-05  1.95123198E-04  2.99814121E-03  0.00000000E+00  2.08451670E+02  2.10262297E+00  6.77554732E-04  1.19191298E-05  8.29971634E+04  8.30185584E+04  9.09549259E-06  1.47751777E+00  2.38394720E+01  5.95438491E+00  2.55912871E-01  4.92302299E-01  1.18252437E+01  3.36803724E+05  2.38137631E-01  2.74654005E-03 -2.87925482E-02   5.00000000E-01  2.50000000E-01  1.56250000E-01  9.37500000E-02        4       8      20      48 |   0.00E+00  0.00E+00  4.56E+04  1.00E+01  6.38E+01  3.01E-01
   13310  3.50000000E+00  2.79005482E-04   5.71309572E-03  6.57708981E-04 -2.22014412E-05  2.84957876E-04  2.36409367E-03  0.00000000E+00  1.97763202E+02  2.12057859E+00  9.68350784E-03  1.12863933E-05  8.35691411E+04  8.35868551E+04  1.24617129E-05  1.52990210E+00  1.99212928E+01  4.96154597E+00  2.63917805E-01  4.75263215E-01  9.11171992E+00  2.96704607E+05  1.89895658E-01  9.61159788E-03 -2.61111556E-02   5.00000000E-01  2.50000000E-01  1.56250000E-01  9.37500000E-02        4       8      20      48 |   0.00E+00  0.00E+00  4.07E+04  1.00E+01  5.63E+01  2.58E-01
   16930  4.00000000E+00  1.59625757E-04   5.25929316E-03  1.03795831E-03 -5.16612412E-05  8.22149561E-04  8.83220494E-03  0.00000000E+00  1.03084568E+02  2.24400541E+00 -8.38099928E-03  1.23221947E-05  1.19519564E+05  1.19571638E+05  2.08525556E-05  1.52515370E+00  1.87994486E+01  3.67461738E+00  2.83507132E-01  4.32491311E-01  2.79470395E+01  9.63447381E+05  6.55733378E-01 -1.28750486E-02 -3.41898059E-02   5.00000000E-01  2.50000000E-01  1.56250000E-01  9.37500000E-02        4       8      20      48 |   0.00E+00  0.00E+00  2.95E+04  1.00E+01  1.36E+02  6.04E-01
   20542  4.50000000E+00  1.76363688E-04   4.03054410E-03  1.21060994E-03 -8.31409862E-06  1.26428486E-03  5.20520929E-03  0.00000000E+00  6.59837129E+01  3.08677346E+00  9.80591950E-03  7.99909466E-06  1.14365521E+05  1.14428889E+05  4.05384226E-05  1.65659325E+00  1.87492683E+01  3.51244781E+00  2.98189873E-01  4.01483293E-01  2.20343302E+01  6.66922254E+05  3.47498482E-01  3.80584374E-03 -2.12547814E-02   5.00000000E-01  2.50000000E-01  1.56250000E-01  9.37500000E-02        4       8      20      48 |   0.00E+00  0.00E+00  2.16E+04  1.00E+01  1.68E+02  7.22E-01
