it global_time dt rho m1 m2 e r_e test D v1 v2 p Trad Tgas Mdot OPAL CAK CAK2 lambda Edd Gamma Lum F1 F2 gradE c1 c2 c3 c4 n1 n2 n3 n4 | Xload Xmemory 'Cell_Updates /second/core' 'Active_Blocks/Core' 'Wct Per Code Time [s]' 'TimeToFinish [hrs]'
       0  0.00000000E+00  8.84886249E-04   2.13627789E-03  1.03361354E-04  2.88990624E-07  3.54425182E-05  5.25996646E-04  0.00000000E+00  7.24531791E+01  8.77000048E-01  9.49557637E-06  5.53180387E-06  5.76247799E+04  9.02502230E+04  3.18523108E-06  1.30162864E+00  1.15666264E+01  1.79552389E+00  2.57118563E-01  4.84979558E-01  1.99897321E+00  1.37745007E+05  1.30750891E-01  0.00000000E+00 -2.62090763E-02   4.37500000E-01  4.37500000E-01  3.12500000E-02  9.37500000E-02       14      56      16     192 |   0.00E+00  0.00E+00  0.00E+00  3.48E+01  3.74E+14  2.08E+12
    1252  5.00000000E-01  2.66457856E-04   3.40986992E-03  5.37045365E-04  3.63290886E-07  1.12950168E-04  2.04961602E-03  0.00000000E+00  1.72640470E+02  1.18022811E+00  4.90574689E-05  6.97066310E-06  8.19706848E+04  8.62472943E+04  6.75420340E-06  1.39477091E+00  1.23352840E+01  2.54953562E+00  2.69779708E-01  4.57641260E-01  8.69989090E+00  4.39562293E+05  2.77000831E-01  2.76251633E-04 -1.88896763E-02   4.37500000E-01  3.67187500E-01  1.05468750E-01  8.98437500E-02       14      47      54     184 |   0.00E+00  0.00E+00  5.00E+04  3.74E+01  1.79E+02  9.72E-01
    4563  1.00000000E+00  1.34246226E-04   3.77239833E-03  6.56331712E-04  2.99508621E-07  1.87795811E-04  2.26777247E-03  0.00000000E+00  1.82220263E+02  1.36471597E+00  1.26104159E-04  7.51481562E-06  7.83456393E+04  8.00246330E+04  9.12936430E-06  1.37412086E+00  1.14332332E+01  2.56601144E+00  2.55943019E-01  4.89519773E-01  5.97561012E+00  3.15410225E+05  1.87931313E-01 -2.46445032E-04 -1.91504529E-02   6.87500000E-01  4.68750000E-02  1.44531250E-01  1.21093750E-01       22       6      74     248 |   0.00E+00  0.00E+00  4.29E+04  4.38E+01  4.86E+02  2.56E+00
    7320  1.50000000E+00  2.69192799E-04   4.29073428E-03  6.73577882E-04  5.18975310E-06  2.48763074E-04  2.81262447E-03  0.00000000E+00  1.54509588E+02  1.49310546E+00  4.91838805E-04  8.63796452E-06  8.51610600E+04  1.21090542E+05  1.07964125E-05  1.43075649E+00  1.35126718E+01  2.74710966E+00  2.76985414E-01  4.43658981E-01  8.51967457E+00  4.02326177E+05  2.45627122E-01 -6.03096345E-04 -2.17832207E-02   4.37500000E-01  3.35937500E-01  1.36718750E-01  8.98437500E-02       14      43      70     184 |   0.00E+00  0.00E+00  4.01E+04  3.89E+01  2.31E+02  1.19E+00
   10247  2.00000000E+00  1.34401515E-04   5.42697774E-03  5.68916442E-04 -5.42068948E-06  2.33055468E-04  1.87590366E-03  0.00000000E+00  1.44073149E+02  1.63084538E+00 -2.14748353E-04  1.10313117E-05  7.63940036E+04  8.55480786E+04  1.10553651E-05  1.41604014E+00  1.63389340E+01  3.48086416E+00  2.73006485E-01  4.53343012E-01  6.15475547E+00  2.57749424E+05  1.68463147E-01 -1.30738590E-03 -2.51069124E-02   6.87500000E-01  6.25000000E-02  1.34765625E-01  1.15234375E-01       22       8      69     236 |   0.00E+00  0.00E+00  4.37E+04  4.19E+01  4.56E+02  2.28E+00
   16853  2.50000000E+00  7.63360613E-05   3.92286294E-03  1.09351102E-03 -9.00982924E-06  5.87582486E-04  5.08890058E-03  0.00000000E+00  1.35555960E+02  2.38384340E+00 -1.35011785E-04  8.24669046E-06  1.02242247E+05  1.28007536E+05  1.83467747E-05  1.50274587E+00  2.16849700E+01  4.27072340E+00  2.77875311E-01  4.44909357E-01  2.09181387E+01  6.85171414E+05  4.41811928E-01  9.52595870E-03 -2.12831695E-02   6.25000000E-01  4.68750000E-02  1.50390625E-01  1.77734375E-01       20       6      77     364 |   0.00E+00  0.00E+00  4.55E+04  5.84E+01  1.08E+03  5.23E+00
   24889  3.00000000E+00  6.32757059E-05   4.62506358E-03  8.04893690E-04  6.33108197E-05  6.08820135E-04  2.79729534E-03  0.00000000E+00  1.40677891E+02  2.85442803E+00 -1.73981582E-03  8.90624835E-06  9.31996006E+04  1.40308307E+05  2.16853841E-05  1.57607532E+00  2.36586874E+01  5.49585248E+00  2.81725926E-01  4.37628333E-01  1.58969374E+01  4.18266854E+05  2.29300959E-01  2.92162179E-03 -1.88027479E-02   3.75000000E-01  2.26562500E-01  2.38281250E-01  1.60156250E-01       12      29     122     328 |   0.00E+00  0.00E+00  3.48E+04  6.14E+01  1.78E+03  8.42E+00
   34695  3.50000000E+00  4.76382564E-05   3.42752374E-03  1.28441703E-03  2.69400581E-05  1.03260136E-03  6.61772592E-03  0.00000000E+00  8.15726444E+01  3.22106358E+00  4.76565471E-03  7.38659068E-06  1.20710844E+05  1.92176424E+05  3.21604613E-05  1.62390151E+00  2.65507072E+01  5.24722835E+00  2.96762545E-01  4.05294299E-01  4.54665989E+01  1.00936181E+06  5.36402600E-01 -2.04252924E-04 -2.06639432E-02   3.12500000E-01  1.95312500E-01  2.98828125E-01  1.93359375E-01       10      25     153     396 |   0.00E+00  0.00E+00  3.41E+04  7.30E+01  2.88E+03  1.32E+01
   47228  4.00000000E+00  3.42217374E-05   4.13216949E-03  9.60951648E-04 -3.67980795E-05  7.49950209E-04  2.48159360E-03  0.00000000E+00  1.16661446E+02  3.28638262E+00  1.37188063E-02  7.41938802E-06  9.63565979E+04  1.51193145E+05  3.30017773E-05  1.55675941E+00  2.97490484E+01  7.26437812E+00  2.91004514E-01  4.18730049E-01  2.73645188E+01  4.78875110E+05  2.16058156E-01 -1.05848722E-03 -1.57081149E-02   0.00000000E+00  2.03125000E-01  4.84375000E-01  3.12500000E-01        0      26     248     640 |   0.00E+00  0.00E+00  3.64E+04  1.14E+02  5.87E+03  2.61E+01
   58177  4.50000000E+00  5.86611250E-05   4.79292751E-03  4.91715506E-04 -2.32205488E-05  4.42635389E-04  2.02023414E-03  0.00000000E+00  1.12506306E+02  2.65427112E+00  6.09882235E-02  8.98948827E-06  8.48075746E+04  1.27604724E+05  2.29983886E-05  1.45728725E+00  2.75492971E+01  6.90318642E+00  2.91027357E-01  4.17417583E-01  1.56011396E+01  3.17082867E+05  1.84696268E-01 -9.23008367E-04 -2.09677277E-02   0.00000000E+00  2.81250000E-01  4.41406250E-01  2.77343750E-01        0      36     226     568 |   0.00E+00  0.00E+00  2.82E+04  1.04E+02  4.01E+03  1.73E+01
